rank,city,state,estimate_population_2018,census_2010,change_in_percentage,land_area_sq_miles_2016,land_area_sq_km_2016,population_density_sq_miles_2016,population_density_sq_km_2016,city_link,area_codes,county,area_land_sq_miles,gov_mayor,area_metro_sq_miles,time_zone_summer_dst,gov_type,area_water_sq_miles,about_city,lattitude,longitude,country
163,Clarksville,Tennessee,156794,132929,+17.95,98.3  ,254.6 ,1529 ,590,"https://en.wikipedia.org/wiki/Clarksville,_Tennessee",931,montgomery,94.9   ,joe pitts,nan,utc−5 (cdt),nan,0.7  ," It is the principal central city of the Clarksville, TN–KY metropolitan statistical area, which consists of Montgomery and Stewart counties in Tennessee, and Christian and Trigg counties in Kentucky.The city was founded in 1785 and incorporated in 1807, and named for General George Rogers Clark, frontier fighter and Revolutionary War hero, and brother of William Clark of the Lewis and Clark Expedition.Clarksville is the home of Austin Peay State University; The Leaf-Chronicle, the oldest newspaper in Tennessee; and neighbor to the Fort Campbell, United States Army base. Site of the 101st Airborne Division , Fort Campbell is located about 10 miles  from downtown Clarksville, and spans the Tennessee-Kentucky state line. While the post office for the base is located on the Kentucky side, the majority of the base's acreage is on the Tennessee side.", 36.566, -87.3452,USA
164,Palmdale,California,156667,152750,+2.56,106.0  ,274.5 ,1484 ,573,"https://en.wikipedia.org/wiki/Palmdale,_California",661,los angeles,105.97   ,nan,12828837,utc−7 (pdt),council-manager,0.24  ," Palmdale is a city in northern Los Angeles County in the U.S. state of California. The city lies in the Antelope Valley region of Southern California. The San Gabriel Mountains separate Palmdale from the city of Los Angeles to the south.On August 24, 1962, Palmdale became the first community in the Antelope Valley to incorporate. Forty-seven years later, in November 2009, voters approved making it a charter city.  Palmdale's population was 152,750 at the 2010 census, up from 116,670 at the 2000 census. Palmdale is the 33rd most populous city in California. Together with its immediate northern neighbor, the city of Lancaster, the Palmdale/Lancaster urban area had an estimated population of 513,547 as of 2013.",34.5910,-118.1054,USA
165,Salinas,California,156259,150441,+3.87,23.6  ,61.1 ,6662 ,2572,"https://en.wikipedia.org/wiki/Salinas,_California",831,monterey,23.61   ,joe gunter,nan,utc−7 (pdt),council-manager,0.04  ," Salinas  is the county seat and largest municipality of Monterey County, California. Salinas is an urban area located just outside the southern portion of the Greater Bay Area and  10 miles  east-southeast of the mouth of the Salinas River. The population was 157,218 as of 2016. The city is located at the mouth of the Salinas Valley roughly eight miles from the Pacific Ocean and has a climate more influenced by the ocean than the hot-summer interior. The majority of residents live in single-unit detached homes, built between 1950 and 2000, while one third of the housing stock has three or more units per structure. Salinas serves as the main business, governmental and industrial center of the region. The marine climate is ideal for the floral industry, grape vineyards, and vegetable growers. Salinas is known for its vibrant and large agriculture industry and being ""The Salad Bowl of the World"" as the hometown of writer and Nobel Prize in Literature laureate John Steinbeck, who based several of his novels there.The land currently occupied by the city of Salinas is thought to have been settled by Native Americans known as the Esselen prior to 200 AD. Between 200 and 500 AD, they were displaced by the Rumsen group of Ohlone speaking people.  The Rumsen-Ohlone remained as the inhabitants of the area for approximately another 1,200 years, and in the 1700s, were the group of native inhabitants contacted and recorded by the first Spanish explorers of the Salinas area.",36.6902,-121.6337,USA
166,Springfield,Massachusetts,155032,153060,+1.29,31.9  ,82.6 ,4830 ,1860,"https://en.wikipedia.org/wiki/Springfield,_Massachusetts",413,hampden,31.9   ,domenic sarno ,692942,utc−4 (eastern),mayor-council city,1.2  ," Springfield is a city in the state of Massachusetts, United States, and the seat of Hampden County. Springfield sits on the eastern bank of the Connecticut River near its confluence with three rivers: the western Westfield River, the eastern Chicopee River, and the eastern Mill River. As of the 2010 Census, the city's population was 153,060. As of 2018, the estimated population was 155,032, making it the third-largest city in Massachusetts, the fourth-most populous city in New England after Boston, Worcester, and Providence, and the 12th-most populous in the Northeastern United States. Metropolitan Springfield, as one of two metropolitan areas in Massachusetts , had a population of 692,942 as of 2010.The first Springfield in the New World, during the American Revolution, George Washington designated it as the site of the Springfield Armory for its central location, subsequently the site of Shays' Rebellion. The city would also play a pivotal role in the Civil War, as a major stop on the Underground Railroad and home of abolitionist John Brown, best known for his raid on Harpers Ferry, and for the Armory's manufacture of the famed ""Springfield rifles"" used ubiquitously by Union troops. Closing during the Johnson administration, today the national park historic site features the largest collection of historic American firearms in the world.  Today the city is the largest in western New England, and the urban, economic, and media capital of Massachusetts' section of the Connecticut River Valley, colloquially known as the Pioneer Valley.Springfield has several nicknames – ""The City of Firsts"", due to the many innovations developed there, such as the first American dictionary, the first American gas-powered automobile, and the first machining lathe for interchangeable parts; ""The City of Homes"", due to its Victorian residential architecture; and ""Hoop City"", as basketball – one of the world's most popular sports – was invented in Springfield in 1891 by James Naismith.", 42.115, -72.5400,USA
167,Hollywood,Florida,154823,140768,+9.98,27.3  ,70.7 ,5568 ,2150,"https://en.wikipedia.org/wiki/Hollywood,_Florida",nan,nan,nan,nan,nan,,nan,nan," Joseph Young arrived in South Florida in 1920 in search to create his own “Dream City in Florida” . His vision included the beaches of the Atlantic ocean stretching westward with man made lakes, infrastructure, roads and the Intracoastal waterway. He wanted to include large parks, schools, churches, and golf courses; these were all industries and activities which were very important to Young's life. After Young spent millions of dollars on the construction of the city, he was elected as the first mayor in 1925. This new town quickly became home to northerners known as snowbirds. These snowbirds flee the north during the winter and then escape the south during the summer to avoid the harsh climates.  By 1960, Hollywood contained more than 2,400 hotel units along with the construction of 12,170 single family homes. Young bought up thousands of acres of land around 1920, and named his new town ""Hollywood by the Sea"" to distinguish it from his other real estate venture, ""Hollywood in the Hills"", in New York.The Florida guide, published by the Federal Writers' Project, describes the early development of Hollywood, an early example of a planned community that proliferated in Florida during the real estate boom of the 1920's:", 26.031, -80.1646,USA
168,Pasadena,Texas,153219,149043,+2.80,43.5  ,112.7 ,3525 ,1361,"https://en.wikipedia.org/wiki/Pasadena,_Texas",713/ 281/ 346/ 832,harris,44.2   ,jeff wagner,5628101,utc−5 (cdt),mayor-council,0.4  ," Pasadena  is a city in the U.S. state of Texas, within the Houston–The Woodlands–Sugar Land metropolitan area. As of the 2010 U.S. Census, the city's population is 149,043, making it the seventeenth most populous city in the state of Texas, as well as the second-largest city in Harris County. The area was founded in 1893 by John H. Burnett of Galveston, who named the area after Pasadena, California, because of the perceived lush vegetation.The Pasadena Volunteer Fire Department is the largest of all volunteer municipal fire departments in the United States.", 29.658, -95.1506,USA
169,Sunnyvale,California,153185,140081,+9.35,22.0  ,57.0 ,6944 ,2681,"https://en.wikipedia.org/wiki/Sunnyvale,_California",408/669/650,santa clara,21.98   ,larry klein,nan,utc−7 (pdt),council-manager,0.70  ," Sunnyvale  is a city located in Santa Clara County, California. As of the 2010 United States Census, the population was 140,095.Sunnyvale is the seventh most populous city in the San Francisco Bay Area and one of the major cities comprising Silicon Valley. It is bordered by portions of San Jose to the north, Moffett Federal Airfield to the northwest, Mountain View to the northwest, Los Altos to the southwest, Cupertino to the south, and Santa Clara to the east. It lies along the historic El Camino Real and Highway 101.",37.3858,-122.0263,USA
170,Macon,Georgia,153095,91351,+67.59,249.3  ,645.7 ,612 ,236,"https://en.wikipedia.org/wiki/Macon,_Georgia",478,bibb,647  ,robert reichert ,228914 ,utc−4 (edt),nan,3.2 ," Macon , officially Macon–Bibb County, is a consolidated city-county located in the state of Georgia, United States. Macon lies near the geographic center of the state, approximately 85 miles  south of Atlanta, hence the city's nickname ""The Heart of Georgia"".Located near the fall line of the Ocmulgee River, Macon is the county seat of Bibb County and had a 2017 estimated population of 152,663. Macon is the principal city of the Macon metropolitan area, which had an estimated population of 228,914 in 2017. Macon is also the largest city in the Macon–Warner Robins Combined Statistical Area , a larger trading area with an estimated 420,693 residents in 2017; the CSA abuts the Atlanta metropolitan area just to the north.", 32.808, -83.6942,USA
171,Kansas City,Kansas,152958,145786,+4.92,124.8  ,323.2 ,1216 ,470,"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",913,wyandotte,124.81   ,david alvey,nan,utc−5 (cdt),nan,3.57  ," Kansas City is the third-largest city in the State of Kansas, the county seat of Wyandotte County, and the third-largest city of the Kansas City metropolitan area.  Kansas City, Kansas is abbreviated as ""KCK"" to differentiate it from Kansas City, Missouri, after which it is named.  It is part of a consolidated city-county government known as the ""Unified Government"". Wyandotte County also includes the independent cities of Bonner Springs and Edwardsville. As of the 2010 census, the city had a population of 145,786 residents. It is situated at Kaw Point, which is the junction of the Missouri and Kansas rivers.In October 1872, ""old"" Kansas City, Kansas, was incorporated. The first city election was held on October 22 of that year, by order of Judge Hiram Stevens of the Tenth Judicial District, and resulted in the election of Mayor James Boyle. The mayors of the city after its organization were James Boyle, C. A. Eidemiller, A. S. Orbison, Eli Teed and Samuel McConnell.  In June 1880, the Governor of Kansas proclaimed the city of Kansas City a city of the second class with Mayor McConnell present.", 39.122, -94.7418,USA
172,Pomona,California,152361,149058,+2.22,23.0  ,59.6 ,6630 ,2560,"https://en.wikipedia.org/wiki/Pomona,_California",909,los angeles,22.95   ,nan,nan,utc−7 (pdt),council-manager,0.01  ," The area was originally occupied by the Tongva Native Americans.The city is named for Pomona, the ancient Roman goddess of fruit. For horticulturist Solomon Gates, ""Pomona"" was the winning entry in a contest to name the city in 1875, before anyone had ever planted a fruit tree there. The city was first settled by Ricardo Vejar and Ygnacio Palomares in the 1830s, when California and much of the now-American Southwest were part of Mexico.  The first Anglo-Americans arrived in prior to 1848 when the signing of the Treaty of Guadalupe Hidalgo resulted in California becoming part of the United States.  By the 1880s, the arrival of railroads and Coachella Valley water had made it the western anchor of the citrus-growing region. Pomona was officially incorporated on January 6, 1888.",34.0585,-117.7611,USA
173,Escondido,California,152213,143911,+5.77,37.1  ,96.1 ,4087 ,1578,"https://en.wikipedia.org/wiki/Escondido,_California",442/760,san diego,37.07   ,paul mcnamara  ,nan,utc−7 (pdt),council-manager,0.18  ," Escondido  is a city located in San Diego County's North County region, 30 miles  northeast of downtown San Diego. The city occupies a shallow valley ringed by rocky hills.  Incorporated in 1888, it is one of the oldest cities in San Diego County. The city had a population of 143,911 in the 2010 census.""Escondido"" is a Spanish word meaning ""hidden"". One source says the name originally referred to agua escondida or hidden water; another says it meant ""hidden treasure"".",33.1331,-117.0740,USA
174,Killeen,Texas,149103,127921,+16.56,53.5  ,138.6 ,2680 ,1030,"https://en.wikipedia.org/wiki/Killeen,_Texas",254,bell,53.6   ,nan,nan,utc-5 (cdt),council-manager,0.7  ," Killeen is directly adjacent to the main cantonment of Fort Hood. Its economy depends on the activities of the post, and the soldiers and their families stationed there. It is known as a military ""boom town"" because of its rapid growth and high influx of soldiers.In 1881, the Gulf, Colorado and Santa Fe Railway extended its tracks through central Texas, buying 360 acres  a few miles southwest of a small farming community known as Palo Alto, which had existed since about 1872. The railroad platted a 70-block town on its land and named it after Frank P. Killeen, the assistant general manager of the railroad. By the next year, the town included a railroad depot, a saloon, several stores, and a school. Many of the residents of the surrounding smaller communities in the area moved to Killeen. By 1884, the town had grown to include about 350 people, served by five general stores, two gristmills, two cotton gins, two saloons, a lumberyard, a blacksmith shop, and a hotel.", 31.077, -97.7320,USA
175,Naperville,Illinois,148304,141853,+4.55,38.7  ,100.2 ,3802 ,1468,"https://en.wikipedia.org/wiki/Naperville,_Illinois",nan,nan,nan,nan,nan,,nan,nan," Naperville  is a city in DuPage and Will counties in the U.S. state of Illinois. Located 28 miles  west of Chicago, Naperville was founded in 1831 and developed into the fifth-largest city in Illinois. As of the 2010 census, the city had a population of 141,853, which was estimated to have increased to 147,682  by 2017.In a 2010 study assessing cities with populations exceeding 75,000, Naperville was ranked as the wealthiest city in the Midwest and the eleventh wealthiest in the nation. It was ranked among the nation's safest cities by USA Today and Business Insider. Naperville was voted the second-best place to live in the United States by Money magazine in 2006 and it was rated first on the list of best cities for early retirement in 2013 by Kiplinger. In 2015, it was named as one of the most educated large cities in America with populations over 50,000.", 41.749, -88.1620,USA
176,Joliet,Illinois,148099,147433,+0.45,64.4  ,166.8 ,2302 ,889,"https://en.wikipedia.org/wiki/Joliet,_Illinois",815/ 779,"will, kendall",64.43   ,bob o'dekirk ,nan,utc-5 (cdt),council-manager,0.66  ," Joliet  is a city in Will and Kendall counties in the U.S. state of Illinois, 30 miles  southwest of Chicago. It is the county seat of Will County and a major part of the southwest Chicago metropolitan area. At the 2010 census, the city was the fourth largest in Illinois, with a population of 147,433. A population estimate in 2018 put Joliet's population at 150,495, which would make it the 3rd largest city in Illinois if accurate.In 1673, Louis Jolliet, along with Father Jacques Marquette, paddled up the Des Plaines River and camped on a huge mound, a few miles south of present-day Joliet. Maps from Jolliet's exploration of the area, placed a large hill or mound on what is now the southwest corner of the city, since there is no point that is farther southwest. That hill was named Mound Jolliet. The spot was mined by early settlers and is now a depression.", 41.517, -88.1488,USA
177,Bellevue,Washington,147599,122363,+20.62,33.5  ,86.8 ,4221 ,1630,"https://en.wikipedia.org/wiki/Bellevue,_Washington",425,king,33.46   ,john chelminiak,3733580 ,utc−7 (pdt),nan,0.25  ," Bellevue  is a city in the Eastside region of King County, Washington, United States, across Lake Washington from Seattle. As the third-largest city in the Seattle metropolitan area, Bellevue has variously been characterized as an edge city, a suburb, boomburb, or satellite city. Its population was 122,363 at the 2010 census and 144,444 in a 2017 census estimate.Prior to 2008, downtown Bellevue underwent rapid change, with many high-rise projects under construction, and was relatively unaffected by the economic downturn. The downtown area is currently the second largest city center in Washington state, with 1,300 businesses, 45,000 employees and 10,200 residents. Based on per capita income, Bellevue is the 6th wealthiest of 522 communities in the state of Washington. In 2008, Bellevue was named number 1 in CNNMoney's list of the best places to live and launch a business, and in 2010 was again ranked as the 4th best place to live in America. In 2014, Bellevue was ranked as the 2nd best place to live by USA Today. More than 145 companies have been located in Bellevue. Current companies with headquarters in Bellevue include Expedia, T-Mobile and Valve Corporation.",47.5979,-122.1565,USA
178,Rockford,Illinois,146526,152871,−4.15,63.5  ,164.5 ,2325 ,898,"https://en.wikipedia.org/wiki/Rockford,_Illinois",815/ 779,"winnebago, ogle",63.47   ,thomas mcnamara ,344623,utc−5 (cdt),nan,1.01  ," Rockford is a city in Winnebago County in the U.S. state of Illinois, in far northern Illinois.  Located on the banks of the Rock River, Rockford is the county seat of Winnebago County .  The largest city in Illinois outside of the Chicago metropolitan area, Rockford is the third-largest city in the state and the 171st most populous in the United States  According to 2010 U.S. Census Data, the City of Rockford had a population of 152,871, with an outlying metropolitan area population of 348,360. The City of Rockford's population is 147,051 as of 2017, down 4.1% since 2010.Settled in the mid-1830s, the position of the city on the Rock River made its location strategic for industrial development. In the second half of the 19th century, Rockford was notable for its output of heavy machinery and tools; by the twentieth century, it was the second leading center of furniture manufacturing in the nation, and 94th largest city. During the second half of the 20th century, Rockford struggled alongside many Rust Belt cities. Since the late 1990s, efforts in economic diversification have led to growth of automotive, aerospace, and healthcare industries, as well as the undertaking of various tourism and downtown revitalization efforts.", 42.258, -89.0646,USA
179,Savannah,Georgia,145862,136286,+7.03,103.6  ,268.3 ,1417 ,547,"https://en.wikipedia.org/wiki/Savannah,_Georgia",912,chatham,103.1   ,eddie deloach ,389494,utc−4 (edt),nan,5.6  ," Savannah  is the oldest city in the U.S. state of Georgia and is the county seat of Chatham County. Established in 1733 on the Savannah River, the city of Savannah became the British colonial capital of the Province of Georgia and later the first state capital of Georgia. A strategic port city in the American Revolution and during the American Civil War, Savannah is today an industrial center and an important Atlantic seaport. It is Georgia's fifth-largest city, with a 2017 estimated population of 146,444. The Savannah metropolitan area, Georgia's third-largest, had an estimated population of 389,494 in 2018.Each year Savannah attracts millions of visitors to its cobblestone streets, parks, and notable historic buildings: the birthplace of Juliette Gordon Low , the Georgia Historical Society , the Telfair Academy of Arts and Sciences , the First African Baptist Church , Temple Mickve Israel , and the Central of Georgia Railway roundhouse complex .", 32.002, -81.1536,USA
180,Paterson,New Jersey,145627,146199,−0.39,8.4  ,21.8 ,17500 ,6800,"https://en.wikipedia.org/wiki/Paterson,_New_Jersey",201/973,passaic,8.428   ,andre sayegh,nan,utc−4 (eastern (edt)),faulkner act mayor-council,0.276  ," Paterson is the largest city in and the county seat of Passaic County, New Jersey, United States. As of the 2010 United States Census, its population was 146,199, making it New Jersey's third-most-populous city. Paterson has the second-highest density of any U.S. city with over 100,000 people, behind only New York City. For 2017, the Census Bureau's Population Estimates Program calculated a population of 148,678, an increase of 1.7% from the 2010 enumeration, making the city the 174th-most-populous in the nation.Paterson is known as the ""Silk City"" for its dominant role in silk production during the latter half of the 19th century. It has since evolved into a major destination for Hispanic immigrants as well as for immigrants from India, South Asia, and the Arab and Muslim world. Paterson has the second-largest Muslim population in the United States by percentage.", 40.914, -74.1628,USA
181,Torrance,California,145182,145438,−0.18,20.5  ,53.1 ,7180 ,2770,"https://en.wikipedia.org/wiki/Torrance,_California",310/424,los angeles,20.48   ,nan,nan,utc−7 (pdt),council-manager,0.07  ," Torrance is a U.S. city in the South Bay  region of Los Angeles County, California in the Los Angeles metropolitan area. Torrance has 1.5 miles  of beaches on the Pacific Ocean. Torrance has a moderate year-round climate with warm temperatures, sea breezes, low humidity, and an average rainfall of 12.55 inches per year.Since its incorporation in 1921, Torrance has grown to a 2013 estimated population of 147,000. This residential and light high-tech industries city has 90,000 street trees and 30 city parks. Known for its low crime rates, the city consistently ranks among the safest cities in Los Angeles County. Torrance is the birthplace of the American Youth Soccer Organization . In addition,  Torrance has the second-highest percentage of residents of Japanese ancestry in California .",33.8350,-118.3414,USA
182,Bridgeport,Connecticut,144900,144229,+0.47,16.1  ,41.7 ,9064 ,3500,"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",203/475,fairfield,16.0   ,joe ganim ,939904 ,utc-4 (eastern),mayor-council,3.4  ," As of 2017, Bridgeport had an estimated population of 146,579, which made it the largest city in Connecticut and the fifth-most populous in New England. The Greater Bridgeport area is the 48th-largest urban area in the United States.The showman P. T. Barnum was a resident of the city and served as the town's mayor in the late 19th century. Barnum built four houses in Bridgeport and housed his circus in town during winter. The first Subway restaurant opened in Bridgeport's North End in 1965. The Frisbie Pie Company was in Bridgeport, and Bridgeport is credited as the birthplace of the Frisbee.", 41.187, -73.1958,USA
183,McAllen,Texas,143433,129877,+10.44,58.4  ,151.3 ,2435 ,940,"https://en.wikipedia.org/wiki/McAllen,_Texas",956,hidalgo,48.3   ,nan,774769,utc−5 (cdt),council-manager,0.3  ," From its settlement in 1904, the area around McAllen was largely rural and agricultural in character, but the latter half of the 20th century had steady growth, which the metropolitan area still experiences today. The introduction of the maquiladora economy and the North American Free Trade Association led to an increase in cross-border trading with Mexico.In 1904, the Hidalgo and San Miguel Extension  of the St. Louis, Brownsville and Mexico Railway reached the Santa Anita Ranch. John McAllen and his son James donated land to the railroad to guarantee it would cross the area. On December 5, 1904, the McAllen Townsite Company was formed by Uriah Lott, Leonidas C. Hill Sr., John McAllen, James Ballí McAllen, and John J. Young. The new community, which was named for John McAllen, had the depot nearest the county seat, Hidalgo, 8 mi  to the south.", 26.232, -98.2464,USA
184,Mesquite,Texas,142816,139824,+2.14,47.2  ,122.2 ,3045 ,1176,"https://en.wikipedia.org/wiki/Mesquite,_Texas",214/ 469/ 972,"dallas, kaufman",46.0   ,nan,nan,utc-5 (cdt),council-manager,0.20  ," According to legislative action, the city is the ""Rodeo Capital of Texas"". In 2016, Mesquite received a Playful City USA designation for the fourth year in a row. The city has been named a Tree City USA by the National Arbor Day Foundation for over 25 years. The city of Mesquite holds the 10th longest reign in all of Texas.Unique to suburbs of Dallas and Fort Worth, the city of Mesquite is served by its own local airport, Mesquite Metro Airport. Companies and institutions with a major presence in the city are the United Parcel Service, Sears, AT&T, Spectrum, Eastfield College, the Texas A&M University–Commerce Mesquite Metroplex Center, Ashley Furniture, and FedEx.", 32.762, -96.5888,USA
185,Syracuse,New York,142749,145170,−1.67,25.0  ,64.7 ,5735 ,2214,"https://en.wikipedia.org/wiki/Syracuse,_New_York",nan,onondaga,25.05   ,ben walsh ,662577,utc−4 (eastern daylight time),mayor-council,0.56  ," Syracuse  is a city in and the county seat of Onondaga County, New York, United States. It is the fifth-most populous city in the state of New York following New York City, Buffalo, Rochester, and Yonkers.At the 2010 census, the city population was 145,252, and its metropolitan area had a population of 662,577. It is the economic and educational hub of Central New York, a region with over one million inhabitants. Syracuse is also well-provided with convention sites, with a downtown convention complex. Syracuse was named after the classical Greek city Syracuse , a city on the eastern coast of the Italian island of Sicily.", 43.041, -76.1436,USA
186,Midland,Texas,142344,111147,+28.07,74.4  ,192.7 ,1809 ,698,"https://en.wikipedia.org/wiki/Midland,_Texas",432,"midland, martin",71.3   ,jerry morales,295987,utc−5 (cdt),council-manager,0.2  ," At the 2010 census, the population of Midland was 111,147, and a 2015 estimate gave a total of 132,950, making it the twenty-fourth most populous city in the state of Texas. Due to the oil boom in Midland, certain officials have given population estimates above 155,000. It is the principal city of the Midland, Texas Metropolitan Statistical Area, which includes all of Midland County, the population of which grew 4.6 percent, between July 1, 2011 and July 1, 2012, to 151,662, respectively, according to the U.S. Census Bureau.  The metropolitan area is also a component of the larger Midland−Odessa, Texas Combined Statistical Area, which had an estimated population of 295,987 on July 1, 2012. People in Midland are called Midlanders.Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881. It is the hometown of former First Lady Laura Bush, and the onetime home of former Presidents George H. W. Bush and George W. Bush, and former First Lady Barbara Bush.",32.0246,-102.1135,USA
187,Pasadena,California,141371,137122,+3.10,23.0  ,59.6 ,6176 ,2385,"https://en.wikipedia.org/wiki/Pasadena,_California",323/ 626,los angeles,22.98   ,terry tornek,nan,utc−7 (pdt),city council/manager,0.15  ," Pasadena  is a city in Los Angeles County, California, United States, located 10 miles  northeast of Downtown Los Angeles.The estimated population of Pasadena was 142,647 in 2017, making it the 183rd-largest city in the United States. Pasadena is the ninth-largest city in Los Angeles County. Pasadena was incorporated on June 19, 1886, becoming one of the first cities to be incorporated in what is now Los Angeles County, following the city of Los Angeles .  It is one of the primary cultural centers of the San Gabriel Valley.",34.1606,-118.1396,USA
188,Murfreesboro,Tennessee,141344,108755,+29.97,55.9  ,144.8 ,2360 ,910,"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee",615/ 629,rutherford,58.32   ,shane mcfarland ,nan,utc−5 (cdt),council–manager,0.15  ," Murfreesboro is a city in, and the county seat of, Rutherford County, Tennessee, United States. The population was 108,755 according to the 2010 census, up from 68,816 residents certified in 2000. In 2017, census estimates showed a population of 136,372. The city is home to both the center of population of Tennessee, and the geographic center of Tennessee. Murfreesboro is located 34 miles  southeast of downtown Nashville in the Nashville metropolitan area of Middle Tennessee. It is Tennessee's fastest growing major city and one of the fastest growing cities in the country. Murfreesboro is also home to Middle Tennessee State University, the second largest undergraduate university in the state of Tennessee, with 22,729 total students as of fall 2014.In 2006, Murfreesboro was ranked by Money as the 84th best place to live in the United States, out of 745 cities with a population over 50,000. In 2018, Murfreesboro was ranked by Money as the 19th best place to live in the United States.", 35.852, -86.4160,USA
189,Miramar,Florida,140823,122041,+15.39,29.4  ,76.1 ,4709 ,1818,"https://en.wikipedia.org/wiki/Miramar,_Florida",754/ 954,broward,29.38   ,wayne m. messam,5762717 ,utc-4 (edt),commission-manager,1.90  ," Miramar was founded by A.L. Mailman to serve as a ""bedroom community"" for nearby Miami and Fort Lauderdale.  Mailman bought the original property he was to develop from H.D. Perry, Sr. in 1953. He built 56 homes on the property that were inexpensive homes of concrete and flat roofs. These homes sold quickly because of the low cost of both the homes and the land, and the city of Miramar came into being.The city was incorporated on May 26, 1955 and was named for the Miramar area of Havana, Cuba where Mailman had a summer home . At the time of incorporation, the city had a population of less than two hundred people. With approximately 2.9 square miles land area, Miramar's original city boundaries were Southwest 64 Avenue on the east, University Drive on the west, the Dade County line on the south, and Pembroke Road on the north.  On June 20, 1955, the city's first mayor  and city council were sworn in, all of whom were appointed by the governor and served until January 1959, at which time the first municipal election was held. The city seal is inscribed with the motto ""Beauty and Progress"".", 25.977, -80.3358,USA
190,Dayton,Ohio,140640,141527,−0.63,55.7  ,144.3 ,2522 ,974,"https://en.wikipedia.org/wiki/Dayton,_Ohio",937,montgomery,55.65   ,nan whaley ,799232 ,utc-4 (edt),nan,0.85  ," Dayton  is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2017 U.S. census estimate put the city population at 140,371, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati.Ohio's borders are within 500 miles  of roughly 60 percent of the country's population and manufacturing infrastructure, making the Dayton area a logistical centroid for manufacturers, suppliers, and shippers. Dayton also hosts significant research and development in fields like industrial, aeronautical, and astronautical engineering that have led to many technological innovations. Much of this innovation is due in part to Wright-Patterson Air Force Base and its place in the community. With the decline of heavy manufacturing, Dayton's businesses have diversified into a service economy that includes insurance and legal sectors as well as healthcare and government sectors.", 39.777, -84.1996,USA
191,Fullerton,California,139640,135161,+3.31,22.4  ,58.0 ,6282 ,2425,"https://en.wikipedia.org/wiki/Fullerton,_California",562/ 657/714,orange,22.43   ,nan,nan,utc-7 (pdt),council-manager,0.01  ," Fullerton  is a city located in northern Orange County, California, United States. As of the 2010 census, the city had a total population of 135,161.Fullerton was founded in 1887. It secured the land on behalf of the Atchison, Topeka and Santa Fe Railway. Historically it was a center of agriculture, notably groves of Valencia oranges and other citrus crops; petroleum extraction; transportation; and manufacturing. It is home to numerous higher educational institutions, particularly California State University, Fullerton and Fullerton College. From the mid-1940s through the late 1990s, Fullerton was home to a large industrial base made up of aerospace contractors, canneries, paper products manufacturers, and is considered to be the birthplace of the electric guitar, due in a large part to Leo Fender. The headquarters of Vons, which is owned by Albertsons, is located in Fullerton near the Fullerton-Anaheim line.",33.8857,-117.9280,USA
192,Olathe,Kansas,139605,125872,+10.91,60.9  ,157.7 ,2225 ,859,"https://en.wikipedia.org/wiki/Olathe,_Kansas",913,johnson,59.66   ,michael copeland,2087471 ,utc-5 (cdt),mayor–council,0.76  ," Olathe was founded by Dr. John T. Barton in the spring of 1857. He rode to the center of Johnson County, Kansas and staked two quarter sections of land as the town site. He later described his ride to friends: ""...the prairie was covered with verbena and other wild flowers. I kept thinking the land was beautiful and that I should name the town Beautiful."" Purportedly, Barton asked a Shawnee interpreter how to say ""Beautiful"" in his native language. The interpreter responded, ""Olathe.""Olathe was incorporated in 1857, and while not the first city in Johnson County, its rapid growth lead to it being named the county seat in October 1859. Rising tensions across the nation over the issue of slavery lead to numerous clashes between abolitionists settlers and neighboring slave state Missouri. These clashes would further escalate and become a part of the greater conflict known as Bleeding Kansas. With the admission of Kansas into the Union as a free state in 1861, violence began to dissipate. Peace, however, would continue to elude Olathe for many years to come. In 1861 Union officials and local military forces created a military post in the city. It housed one company of troops along with the local militia.", 38.884, -94.8195,USA
193,Orange,California,139484,136416,+2.25,25.4  ,65.8 ,5532 ,2136,"https://en.wikipedia.org/wiki/Orange,_California",657/714,orange,25.36   ,nan,nan,utc−07:00 (pdt),council–manager,0.44  ," Orange is a city located in Orange County, California. It is approximately 3 miles  north of the county seat, Santa Ana. Orange is unusual in this region because many of the homes in its Old Town District were built before 1920. While many other cities in the region demolished such houses in the 1960s, Orange decided to preserve them. The small city of Villa Park is surrounded by the city of Orange. The population was 139,812 as of 2014.Members of the Tongva and Juaneño/Luiseño ethnic group long inhabited this area. After the 1769 expedition of Gaspar de Portolá, an expedition out of San Blas, Nayarit, Mexico, led by Father Junípero Serra, named the area Vallejo de Santa Ana . On November 1, 1776, Mission San Juan Capistrano became the area's first permanent European settlement in Alta California, New Spain.",33.7870,-117.8613,USA
